id,handle,created_at,text
1521499675920150534,r3db34rd_safety,2022-05-03 14:39:25+00:00,@xrp_ninja @wenyrossa @cryptohomegirl Yours is a ninja. Ninjas are cool. 😏
1521499654109937664,nanowolf1991,2022-05-03 14:39:20+00:00,"@Whale_Sniper Join : @ApeBabyApe 
⭐️FIRST $APE REFLECTION TOKEN⭐️
⭐️BUY $BAPE GET $APE ⭐️
$bape $looks $caw $cult $hoba $shib $doge $floki $fcc $kiba $gmt $btc $eth $sol $burn $elon $bnb $tlos $koo $matic $plato $civ $jasmy $qnt $bps $kava $snx $near $rune $xrp $xlm $gmt $smol $jpeg $uni"
1521499650942984192,royamahak,2022-05-03 14:39:19+00:00,"@elonmusk @stats_feed 🔴 2013 - You missed $BTC
🔴 2014 - You missed $DOGE
🔴 2015 - You missed $XRP
🔴 2016 - You missed $ETH
🔴 2017 - You missed $ADA
🔴 2018 - You missed $BNB
🔴 2019 - You missed $LINK
🔴 2020 - You missed $DOT
🔴 2021 - You missed $SHIB
🟢 In 2022, don't miss $babydogecoin https://t.co/e2xRBHBFKI"
1521499648200146944,Beverly68913447,2022-05-03 14:39:18+00:00,"$XRP ~All that you need to know., Shorts haven't covered a single share.. https://t.co/60u3dZi0rz"
1521499644148264960,JoshAfra,2022-05-03 14:39:17+00:00,🤩Voting for next Mega Earn Thursday listings is now open!#ANML #ATOM #LUNA #RACA #SHIB  #XRP which one would you vot…
1521499618021974018,Wan39009868,2022-05-03 14:39:11+00:00,@OthersldesMeta Thanks for refund of my tx @glangley @isabellaarnao @dolev_yao @stphZhh @dzejkob1996 @ignac_horvath @JVTrading_XRP @PartyCupNFT @bezos_paul @ZainB_121 @0xmigi @C_Lamar23 @zackyanm @ericshiarla @THIVAA9 @Natertottzz @JakeGold @AntimonNFT @Bach76503064 @favourite021
1521499617380438022,nanowolf1991,2022-05-03 14:39:11+00:00,"@davebriggstv @YahooFinance @RachelleAkuffo Join : @ApeBabyApe 
⭐️FIRST $APE REFLECTION TOKEN⭐️
⭐️BUY $BAPE GET $APE ⭐️
$bape $looks $caw $cult $hoba $shib $doge $floki $fcc $kiba $gmt $btc $eth $sol $burn $elon $bnb $tlos $koo $matic $plato $civ $jasmy $qnt $bps $kava $snx $near $rune $xrp $xlm $gmt $smol $jpeg $uni"
1521499606286282754,Hereiswotithonk,2022-05-03 14:39:08+00:00,@Gulicio1 @crishwain @JohnEDeaton1 @SFBusinessTimes @X__Anderson @attorneyjeremy1 @Coachjv_ @XRP_OWL Coz Cash flow
1521499595741745152,Sabelo21574680,2022-05-03 14:39:06+00:00,"@LetMeShill 🛑 2012    You missed #BTC
🛑 2014    You missed #XRP
🛑 2015    You missed #ETH
🛑 2016    You missed #ADA
🛑 2017    You missed #BNB
🛑 2018    You missed #LINK
🛑 2019    You missed #DOT
🛑  2021    You missed #CAKE
🟢 2022    You are about to miss #DBA powered by @DafriBank"
1521499589005955072,nanowolf1991,2022-05-03 14:39:04+00:00,"@FOMOcraft @LFG_org @anchor_protocol @astroport_fi @retrogrademoney @orion_money @SpecProtocol @nebula_protocol @terra_money @stablekwon @lunatichisoka @terra_money_ita Join : @ApeBabyApe 
⭐️FIRST $APE REFLECTION TOKEN⭐️
⭐️BUY $BAPE GET $APE ⭐️
$bape $looks $caw $cult $hoba $shib $doge $floki $fcc $kiba $gmt $btc $eth $sol $burn $elon $bnb $tlos $koo $matic $plato $civ $jasmy $qnt $bps $kava $snx $near $rune $xrp $xlm $gmt $smol $jpeg $uni"
1521499581648887809,tc_xrp,2022-05-03 14:39:03+00:00,"@BitcoinMagazine @digitalassetbuy @TAIGxrp 
Plot thickens?"
1521499579870498821,uglyoriginal1,2022-05-03 14:39:02+00:00,@CryptoRedempti1 @bgarlinghouse Ah….I’m the same…hopefully it doesn’t take so long for people to recognize the real value of this company and the power of #OFLand #XRP #XRPL #XRPCommunity
1521499547624693760,r3db34rd_safety,2022-05-03 14:38:54+00:00,"@xrp_ninja @wenyrossa @cryptohomegirl No, the scammer"
